Symbol	Company	LTP	Share Outstanding	Floated Shares	Market Cap (NPR)	Floated Market Cap	Impact In NEPSE	50D Avg Volume
CZBIL	Citizen Bank International Limited	211.37	147,712,441	72,379,095.85	31,221,978,549.74	15,298,769,489	0.67 %	118682.56
NIMBPO	Nepal Investment Mega Bank Ltd. Promoter Share ( NIMBPO )	167	183,075,408	0.00	30,573,593,136.00	0	0.66 %	0
MBL	Machhapuchhre Bank Limited	251.77	116,213,573	56,944,650.63	29,259,091,204.07	14,336,954,690	0.63 %	185950.42
BPCL	Butwal Power Company Limited	832.57	34,090,650	34,090,650.00	28,382,852,470.50	28,382,852,471	0.61 %	477889.44
NRN	NRN Infrastructure and Development Limited	2208.78	12,843,723	12,843,722.85	28,368,958,156.62	28,368,958,157	0.61 %	107454.38
CHDC	CEDB Holdings Limited	2626.25	10,342,371	10,342,370.61	27,161,650,814.51	27,161,650,815	0.58 %	52914.52
PMLI	Prabhu Mahalaxmi Life Insurance Ltd	505.15	51,036,480	7,823,892.38	25,781,077,872.00	3,952,239,238	0.55 %	21473.66
RNLI	Reliable Nepal Life Insurance Limited	473.57	51,968,000	15,590,400.00	24,610,485,760.00	7,383,145,728	0.53 %	60821.32
ALICL	Asian Life Insurance Co. Limited	491.78	50,011,591	24,505,679.80	24,594,700,428.49	12,051,403,210	0.53 %	52722.76
SAHAS	Sahas Urja Limited	641.82	37,800,000	37,800,000.00	24,260,796,000.00	24,260,796,000	0.52 %	353019.7
GBBL	Garima Bikas Bank Limited	423.64	56,805,173	27,834,534.92	24,064,943,619.78	11,791,822,374	0.52 %	97206.46
CLI	Citizen Life Insurance Company Limited	477.85	50,000,000	15,000,000.00	23,892,499,999.22	7,167,750,000	0.51 %	40323
SNLI	Sun Nepal Life Insurance Company Limited	466.38	50,312,320	15,093,696.00	23,464,659,801.60	7,039,397,940	0.50 %	32666.78
SPIL	Siddhartha Premier Insurance Limited	812.14	28,065,499	13,752,094.51	22,793,114,357.86	11,168,626,035	0.49 %	24095.44
GCIL	Ghorahi Cement Industry Limited	498.79	45,676,857	9,024,026.98	22,783,159,453.15	4,501,094,417	0.49 %	65552.82
ILI	IME Life Insurance Company Limited	449.06	50,000,000	15,000,000.00	22,453,000,000.00	6,735,900,000	0.48 %	29128.78
JBLB	Jeevan Bikas Laghubitta Bittiya Sanstha Limited	1457.28	15,361,622	5,069,335.12	22,386,183,876.30	7,387,440,679	0.48 %	12386.92
SJLIC	Suryajyoti Life Insurance Company Limited	438.91	50,119,478	24,558,544.21	21,997,940,077.83	10,778,990,638	0.47 %	37934.12
SICL	Shikhar Insurance Co. Ltd.	747.84	29,204,419	14,310,165.41	21,840,232,854.53	10,701,714,099	0.47 %	21590.9
SMHL	Super Madi Hydropower Limited	976.41	22,050,000	2,160,900.00	21,529,840,500.00	2,109,924,369	0.46 %	26852.04
SHPC	Sanima Mai Hydropower Ltd.	567.92	37,379,937	37,379,937.10	21,228,813,877.83	21,228,813,878	0.46 %	498661.54
SHINE	Shine Resunga Development Bank Ltd.	430.63	48,757,017	23,890,938.22	20,996,234,137.15	10,288,154,727	0.45 %	88028.86
RHPL	RASUWAGADHI HYDROPOWER COMPANY LIMITED	306.61	68,421,000	68,421,000.00	20,978,562,810.00	20,978,562,810	0.45 %	117354.38
NLG	NLG Insurance Company Ltd.	813.21	25,652,243	12,569,599.11	20,860,660,589.37	10,221,723,689	0.45 %	41156.46
SRLI	Sanima Reliance Life Insurance Limited	403.5	50,149,241	24,573,127.87	20,235,218,564.28	9,915,257,096	0.43 %	65876.16
NUBL	Nirdhan Utthan Laghubitta Bittiya Sanstha Limited	765.82	26,120,798	12,799,190.78	20,003,829,141.45	9,801,876,279	0.43 %	28095.8
LBBL	Lumbini Bikas Bank Ltd.	551.56	36,236,922	17,756,091.97	19,986,836,907.91	9,793,550,085	0.43 %	271511.8
NIL	Neco Insurance Co. Ltd.	704.2	26,915,323	10,766,129.25	18,953,770,536.39	7,581,508,215	0.41 %	23779
MBJC	Madhya Bhotekoshi Jalavidyut Company Limited	309.98	60,000,000	60,000,000.00	18,598,800,000.00	18,598,800,000	0.40 %	98335.74
GVL	Green Ventures Limited	540.6	34,375,000	34,375,000.00	18,583,125,000.00	18,583,125,000	0.40 %	175575.42
TRH	Taragaon Regency Hotel Limited	942.66	19,621,202	13,568,060.91	18,496,121,900.26	12,790,068,294	0.40 %	9147.68
KSBBL	Kamana Sewa Bikas Bank Limited	524.05	35,108,463	17,203,146.73	18,398,589,883.92	9,015,309,043	0.40 %	139434.1
API	API Power Company Limited	299.29	60,759,278	60,759,278.05	18,184,644,329.08	18,184,644,329	0.39 %	298672.7
SALICO	Sagarmatha Lumbini Insurance Company Limited	689.93	26,226,382	12,850,927.18	18,094,367,733.26	8,866,240,189	0.39 %	10643.88
CITY	City Hotel Limited	598.89	30,132,000	2,892,672.00	18,045,753,480.00	1,732,392,334	0.39 %	22281.1
NMFBS	National Microfinance Bittiya Sanstha Ltd.	1312.59	13,316,083	3,458,186.64	17,478,556,815.63	4,539,181,205	0.38 %	10310.98
TAMOR	Sanima Middle Tamor Hydropower Limited	514.74	33,325,000	4,998,750.00	17,153,710,500.00	2,573,056,575	0.37 %	39157.18
MLBL	Mahalaxmi Bikas Bank Ltd.	398.96	42,964,581	21,052,644.76	17,141,149,291.20	8,399,163,153	0.37 %	116888.02
